date,slot,phi_SB2,phi_BS2,n_B
20443,open_1430_60,0.00712070810291335,0.00813146273514727,10496
20443,open_1430_30,0.007502639377817108,0.009039391969188858,5751
20443,plac30_h2,0.0068894105455279365,0.007528846988273907,5762
20443,plac30_h5,1.216457553050737e-05,0.016664401822006684,2189
20443,plac30_h8,0.009716060072856266,0.025751574144918028,13189
20443,plac30_h20,0.0002963133056452052,8.766006173190072e-05,2183
20443,plac30_h23,0.008670651551191545,0.008413385284125887,4532
20444,open_1430_60,0.02238022471458377,0.02886125021731032,63236
20444,open_1430_30,0.02162465419857492,0.022685215269833442,34992
20444,plac30_h2,0.005625238937820899,0.0019788119263241368,7304
20444,plac30_h5,0.002636516829071224,0.008735141433496664,5060
20444,plac30_h8,0.015361115679091424,0.012331513709752691,11773
20444,plac30_h20,0.008986300736280945,0.006193932007622932,14801
20444,plac30_h23,0.007517414966007666,0.008210626737132376,4415
20445,open_1430_60,0.03442329571977599,0.026212545640863425,64283
20445,open_1430_30,0.02635403587362487,0.025584349993997925,36393
20445,plac30_h2,0.019830888651683833,0.010110334906803376,7301
20445,plac30_h5,0.02005680050084206,0.01492049781022763,10281
20445,plac30_h8,0.025575720909407504,0.016453175080892665,6914
20445,plac30_h20,0.01082595719206942,0.01774417641894115,20538
20445,plac30_h23,0.008354252527362951,0.014359063783192304,7360
20446,open_1430_60,0.021856116990761763,0.02160543140495068,49250
20446,open_1430_30,0.026268767766273494,0.02160329288303067,30908
20446,plac30_h2,0.02284684540930921,0.004844044394898467,10421
20446,plac30_h5,0.034511405521098354,0.015937241841773676,8718
20446,plac30_h8,0.013620534451491095,0.013618441052743825,5839
20446,plac30_h20,0.007279476632009395,0.0034875418321839396,2769
20446,plac30_h23,0.010647038719750547,0.019085307049779444,3099
20447,open_1430_60,0.013093861857343169,0.032818231341287286,17891
20447,open_1430_30,0.010547905058994958,0.029512076674020022,5200
20447,plac30_h2,0.011198579703138244,0.021844440160717685,4643
20447,plac30_h5,0.0004595278404100839,0.008170507969079515,3577
20447,plac30_h8,0.004645836814119857,0.00356614439350931,7623
20447,plac30_h20,0.004455720628587708,0.009207544060657494,5315
20447,plac30_h23,0.03444619700050565,0.01643994919388153,16692
20448,open_1430_60,0.04899662752717287,0.03362536612790865,94409
20448,open_1430_30,0.053571247495470826,0.033194825444926204,43006
20448,plac30_h2,0.01542776937540697,0.0198661173307392,34092
20448,plac30_h5,0.003474292937379225,0.0032682364108406825,5029
20448,plac30_h8,0.050431327080798886,0.042833876599192425,10447
20448,plac30_h20,0.004295180532500632,0.008174160481645215,7752
20448,plac30_h23,0.015714292204967825,0.005635391606004715,3834
20449,open_1430_60,0.02700561061366553,0.03151214809927422,10495
20449,open_1430_30,0.008088462343617084,0.0349044498276216,5177
20449,plac30_h2,0.02116407382081719,0.017984803413966938,2384
20449,plac30_h5,0.09931262892564224,0.0365445895344451,3179
20449,plac30_h8,0.0005135789678854995,0.004604366456644896,4362
20449,plac30_h20,0.021770497950026984,0.00971122282403868,2660
20449,plac30_h23,0.013202386164004857,0.023370618546376266,5768
20450,open_1430_60,0.01732647421701673,0.034596253405161204,12770
20450,open_1430_30,0.01988119054150496,0.04726217961617239,6437
20450,plac30_h2,0.011300595375983187,0.006795100681945202,2269
20450,plac30_h5,0.00017149401172055886,0.00125092239959616,3903
20450,plac30_h8,1.3947088933579988e-05,0.028082226634861693,5264
20450,plac30_h20,0.025940449121995123,0.024881667402959554,3464
20450,plac30_h23,0.017321199267971307,0.029202513742053248,6479
20451,open_1430_60,0.019725219961030598,0.01823486135636768,55684
