window_start,utc_hour,phi_SB2,phi_BS2,phi_BB1,phi_SS1,eta,mu_B,mu_S,n_B,n_S,month
1767272400.0,13,0.009586630839874492,0.0065618130920845445,0.41168928212848377,0.46442357100035464,0.5216080036376756,1.0989940976156305,1.0626303308280955,7733,8090,2026-01
1767276000.0,14,0.00893690956168346,0.004734242648257529,0.493043405295713,0.5104786949710953,0.6280085036226241,1.1852514487283454,1.212028076915657,11713,10356,2026-01
1767279600.0,15,0.007922236194262924,0.010839992293602904,0.5152342540649226,0.5248830131179931,0.5996036985521748,1.326406283814613,1.228687971460866,11920,11050,2026-01
1767283200.0,16,0.007870093869323304,0.007691753854674359,0.3978749332193165,0.5023333627977542,0.563697966208025,1.243212990057044,1.1317780993404452,10293,9273,2026-01
1767286800.0,17,0.012597769703616923,0.022230856515679253,0.691281247648424,0.5934828240778937,0.7442905992681825,1.1929896846462211,1.1996941498202296,17209,13998,2026-01
1767290400.0,18,0.00931691424006473,0.002752082960598267,0.5533809255141781,0.5841216227519128,0.6573356412184073,0.8548776619527404,0.9830683663834825,8162,10325,2026-01
1767294000.0,19,0.01237794420137511,0.01285660787094411,0.5777924669858698,0.447862149045775,0.6372984065714187,0.8198438364154264,0.903912721530344,8324,6710,2026-01
1767297600.0,20,0.004768735546337255,0.0004260832514333729,0.4424061056008104,0.46190010756315675,0.5559871683604741,0.7670279748428286,0.8955144824151736,6280,6685,2026-01
1767301200.0,21,6.750435844503598e-05,0.002876732948222016,0.5444607320276819,0.4221530450281295,0.595096731012647,0.8964720946378442,0.8231753863111373,7998,5559,2026-01
1767304800.0,22,0.0006699545547555063,0.005198831277498504,0.6957192848574044,0.559310438176508,0.726783260627792,0.933573272188191,0.8503373440440183,12220,8259,2026-01
1767308400.0,23,0.015123030452128615,0.0147845849497825,0.7221308704542387,0.660252261342706,0.7641615732785555,0.9149993801679615,0.9491729131794558,14606,12667,2026-01
1767312000.0,0,0.012205471755501913,0.009382241537811345,0.6784362947903856,0.7235045346605895,0.7623271569458219,1.030798645922615,0.9106586921469136,14156,14236,2026-01
1767315600.0,1,0.007410396080237734,0.007757243257448274,0.566891163268268,0.6937802594951026,0.7333466683634197,0.8776716807627616,0.6878192639265329,8798,9573,2026-01
1767319200.0,2,0.012546309557493043,0.008750362726209519,0.6377714985105383,0.7034033422170826,0.7447402891022356,0.8232160910036348,0.6129070537377168,10900,8942,2026-01
1767322800.0,3,0.006679321491946283,0.015305916967722768,0.7610492223558802,0.7524632794242767,0.8174962079408044,1.0791402681196096,0.8533119411791944,21005,17356,2026-01
1767326400.0,4,0.00877790357437838,0.006824489031019663,0.6100237889917289,0.7785854694197853,0.8149130870785392,0.8161730769067711,0.6325612993266141,9701,12701,2026-01
1767330000.0,5,0.009986510277965337,0.009979774139333692,0.5248970252907137,0.5668022436228093,0.607938522806733,0.9998805032947206,0.7362365125204264,8608,6970,2026-01
1767333600.0,6,0.0015053075053783598,0.010260790314284816,0.6315947292611974,0.5599535291209162,0.6765868001694875,0.9955066609175255,0.9878471641085163,11343,9061,2026-01
1767337200.0,7,0.005467667098459282,0.004483894747754061,0.5569581486926622,0.5847676231278052,0.6375934247411199,0.9454858516657497,1.153375991976779,9573,10841,2026-01
1767340800.0,8,0.008923119179252747,0.009816592454822184,0.6681214844745129,0.5709662046724876,0.7013263909309844,1.2307890757775064,1.0781391297220948,15110,10261,2026-01
